sourceTypeModelYearID,sourceTypeID,modelYearID,fuelTypeID,engTechID,regClassID,stmyFuelEngFraction,stmyFraction
212030,21,2030,1,1,20,1,0.45770497690060813
212030,21,2030,2,1,20,1,0
212030,21,2030,5,1,20,1,0.006467114038981694
212030,21,2030,9,30,20,1,0.5358279090604102
212031,21,2031,1,1,20,1,0.42494436140398284
212031,21,2031,2,1,20,1,0
212031,21,2031,5,1,20,1,0.006006300457264802
212031,21,2031,9,30,20,1,0.5690493381387524
212032,21,2032,1,1,20,1,0.36577820397689464
212032,21,2032,2,1,20,1,0
212032,21,2032,5,1,20,1,0.0051754595017597235
212032,21,2032,9,30,20,1,0.6290463365213457
212033,21,2033,1,1,20,1,0.4308431822964635
212033,21,2033,2,1,20,1,0
212033,21,2033,5,1,20,1,0.006099746233957191
212033,21,2033,9,30,20,1,0.5630570714695791
212034,21,2034,1,1,20,1,0.4256057055497776
212034,21,2034,2,1,20,1,0
212034,21,2034,5,1,20,1,0.006025653326791275
212034,21,2034,9,30,20,1,0.5683686411234311
212035,21,2035,1,1,20,1,0.4027411618992774
212035,21,2035,2,1,20,1,0
212035,21,2035,5,1,20,1,0.005703639247612402
212035,21,2035,9,30,20,1,0.59155519885311
212036,21,2036,1,1,20,1,0.4089613531147172
212036,21,2036,2,1,20,1,0
212036,21,2036,5,1,20,1,0.0057949338007164605
212036,21,2036,9,30,20,1,0.5852437130845664
212037,21,2037,1,1,20,1,0.40651659286451075
212037,21,2037,2,1,20,1,0
212037,21,2037,5,1,20,1,0.005766107920330534
212037,21,2037,9,30,20,1,0.5877172992151587
212038,21,2038,1,1,20,1,0.40533051509893914
212038,21,2038,2,1,20,1,0
212038,21,2038,5,1,20,1,0.005752711329994437
212038,21,2038,9,30,20,1,0.5889167735710664
212039,21,2039,1,1,20,1,0.40779843026031654
212039,21,2039,2,1,20,1,0
212039,21,2039,5,1,20,1,0.0057904781453493506
212039,21,2039,9,30,20,1,0.5864110915943341
212040,21,2040,1,1,20,1,0.39941133952042424
212040,21,2040,2,1,20,1,0
212040,21,2040,5,1,20,1,0.005672503862509003
212040,21,2040,9,30,20,1,0.5949161566170668
212041,21,2041,1,1,20,1,0.39910284909553556
212041,21,2041,2,1,20,1,0
212041,21,2041,5,1,20,1,0.005671854217573331
212041,21,2041,9,30,20,1,0.5952252966868913
212042,21,2042,1,1,20,1,0.39935745894953906
212042,21,2042,2,1,20,1,0
212042,21,2042,5,1,20,1,0.005681774637732634
212042,21,2042,9,30,20,1,0.5949607664127284
212043,21,2043,1,1,20,1,0.4016496441331965
212043,21,2043,2,1,20,1,0
212043,21,2043,5,1,20,1,0.005720967636730232
212043,21,2043,9,30,20,1,0.5926293882300733
212044,21,2044,1,1,20,1,0.4004802570713097
212044,21,2044,2,1,20,1,0
212044,21,2044,5,1,20,1,0.005706179834898888
212044,21,2044,9,30,20,1,0.5938135630937914
212045,21,2045,1,1,20,1,0.40607518423391137
212045,21,2045,2,1,20,1,0
212045,21,2045,5,1,20,1,0.005793664523168629
212045,21,2045,9,30,20,1,0.5881311512429201
212046,21,2046,1,1,20,1,0.4050311119306982
212046,21,2046,2,1,20,1,0
212046,21,2046,5,1,20,1,0.005804046226674717
212046,21,2046,9,30,20,1,0.5891648418426271
212047,21,2047,1,1,20,1,0.40259404036891766
212047,21,2047,2,1,20,1,0
212047,21,2047,5,1,20,1,0.005778588021995286
212047,21,2047,9,30,20,1,0.5916273716090871
212048,21,2048,1,1,20,1,0.39511865623546516
212048,21,2048,2,1,20,1,0
212048,21,2048,5,1,20,1,0.005672163836900975
212048,21,2048,9,30,20,1,0.5992091799276339
212049,21,2049,1,1,20,1,0.3919463698798588
212049,21,2049,2,1,20,1,0
212049,21,2049,5,1,20,1,0.0056394986929118466
212049,21,2049,9,30,20,1,0.6024141314272293
212050,21,2050,1,1,20,1,0.38756595593596693
212050,21,2050,2,1,20,1,0
212050,21,2050,5,1,20,1,0.0055519674834489776
212050,21,2050,9,30,20,1,0.6068820765805841
212051,21,2051,1,1,20,1,0.38756595593596693
212051,21,2051,2,1,20,1,0
212051,21,2051,5,1,20,1,0.0055519674834489776
212051,21,2051,9,30,20,1,0.6068820765805841
212052,21,2052,1,1,20,1,0.38756595593596693
212052,21,2052,2,1,20,1,0
212052,21,2052,5,1,20,1,0.0055519674834489776
212052,21,2052,9,30,20,1,0.6068820765805841
212053,21,2053,1,1,20,1,0.38756595593596693
212053,21,2053,2,1,20,1,0
212053,21,2053,5,1,20,1,0.0055519674834489776
212053,21,2053,9,30,20,1,0.6068820765805841
212054,21,2054,1,1,20,1,0.38756595593596693
212054,21,2054,2,1,20,1,0
212054,21,2054,5,1,20,1,0.0055519674834489776
212054,21,2054,9,30,20,1,0.6068820765805841
212055,21,2055,1,1,20,1,0.38756595593596693
212055,21,2055,2,1,20,1,0
212055,21,2055,5,1,20,1,0.0055519674834489776
212055,21,2055,9,30,20,1,0.6068820765805841
212056,21,2056,1,1,20,1,0.38756595593596693
212056,21,2056,2,1,20,1,0
212056,21,2056,5,1,20,1,0.0055519674834489776
212056,21,2056,9,30,20,1,0.6068820765805841
212057,21,2057,1,1,20,1,0.38756595593596693
212057,21,2057,2,1,20,1,0
212057,21,2057,5,1,20,1,0.0055519674834489776
212057,21,2057,9,30,20,1,0.6068820765805841
212058,21,2058,1,1,20,1,0.38756595593596693
212058,21,2058,2,1,20,1,0
212058,21,2058,5,1,20,1,0.0055519674834489776
212058,21,2058,9,30,20,1,0.6068820765805841
212059,21,2059,1,1,20,1,0.38756595593596693
212059,21,2059,2,1,20,1,0
212059,21,2059,5,1,20,1,0.0055519674834489776
212059,21,2059,9,30,20,1,0.6068820765805841
212060,21,2060,1,1,20,1,0.38756595593596693
212060,21,2060,2,1,20,1,0
212060,21,2060,5,1,20,1,0.0055519674834489776
212060,21,2060,9,30,20,1,0.6068820765805841
311950,31,1950,1,1,30,0.808384001255036,0.79713129632656
311950,31,1950,1,1,41,0.191615998744965,0.1889487041299
311950,31,1950,2,1,30,0.379999995231628,0.00528959976016972
311950,31,1950,2,1,41,0.620000004768372,0.00863039978337094
311950,31,1950,5,1,30,1,0
311950,31,1950,9,30,30,1,0
311950,31,1950,9,30,41,0,0
311951,31,1951,1,1,30,0.808384001255036,0.79713129632656
311951,31,1951,1,1,41,0.191615998744965,0.1889487041299
311951,31,1951,2,1,30,0.379999995231628,0.00528959976016972
311951,31,1951,2,1,41,0.620000004768372,0.00863039978337094
311951,31,1951,5,1,30,1,0
311951,31,1951,9,30,30,1,0
311951,31,1951,9,30,41,0,0
311952,31,1952,1,1,30,0.808384001255036,0.79713129632656
311952,31,1952,1,1,41,0.191615998744965,0.1889487041299
311952,31,1952,2,1,30,0.379999995231628,0.00528959976016972
311952,31,1952,2,1,41,0.620000004768372,0.00863039978337094
311952,31,1952,5,1,30,1,0
311952,31,1952,9,30,30,1,0
311952,31,1952,9,30,41,0,0
311953,31,1953,1,1,30,0.808384001255036,0.79713129632656
311953,31,1953,1,1,41,0.191615998744965,0.1889487041299
311953,31,1953,2,1,30,0.379999995231628,0.00528959976016972
311953,31,1953,2,1,41,0.620000004768372,0.00863039978337094
311953,31,1953,5,1,30,1,0
311953,31,1953,9,30,30,1,0
311953,31,1953,9,30,41,0,0
311954,31,1954,1,1,30,0.808384001255036,0.79713129632656
311954,31,1954,1,1,41,0.191615998744965,0.1889487041299
311954,31,1954,2,1,30,0.379999995231628,0.00528959976016972
311954,31,1954,2,1,41,0.620000004768372,0.00863039978337094
311954,31,1954,5,1,30,1,0
311954,31,1954,9,30,30,1,0
311954,31,1954,9,30,41,0,0
311955,31,1955,1,1,30,0.808384001255036,0.79713129632656
311955,31,1955,1,1,41,0.191615998744965,0.1889487041299
311955,31,1955,2,1,30,0.379999995231628,0.00528959976016972
311955,31,1955,2,1,41,0.620000004768372,0.00863039978337094
311955,31,1955,5,1,30,1,0
311955,31,1955,9,30,30,1,0
311955,31,1955,9,30,41,0,0
